City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,kabompo,-13.5927,24.2008,20.48,90,72,2.66,ZM,1702306183
222,antsiranana,-12.2787,49.2917,31.42,58,20,5.14,MG,1702306183
223,el charco,2.4769,-78.1105,28.55,79,80,1.52,CO,1702306183
224,north salt lake,40.8486,-111.9069,0.82,80,75,2.24,US,1702305965
225,smithers,54.7804,-127.1743,-3.82,93,100,1.03,CA,1702306183
226,wegrow,52.3995,22.0163,2.67,97,100,6.52,PL,1702306183
227,crane,31.3974,-102.3501,8.42,26,2,1.35,US,1702306183
228,sitka,57.0531,-135.33,5.94,75,100,5.66,US,1702306183
229,leava,-14.3,-178.1667,26.69,64,95,4.94,WF,1702306183
230,valenca do piaui,-6.4075,-41.7456,36.13,27,87,4.21,BR,1702306183
231,khorugh,37.4897,71.553,0.55,96,100,2.67,TJ,1702306183
232,nyurba,63.2842,118.3319,-27.0,97,100,2.72,RU,1702306183
233,ouesso,1.6136,16.0517,26.6,83,100,1.23,CG,1702306184
234,piton saint-leu,-21.2196,55.3151,25.06,74,75,9.26,RE,1702306184
235,talara,-4.5772,-81.2719,25.42,65,0,9.26,PE,1702306184
236,kattupputtur,10.9833,78.2333,25.24,83,100,4.43,IN,1702306184
237,binzhou,37.3667,118.0167,-2.69,80,100,2.28,CN,1702306184
238,katsuura,35.1333,140.3,15.8,80,100,1.11,JP,1702306184
239,serra talhada,-7.9919,-38.2983,33.58,29,37,5.12,BR,1702306184
240,hemsby,52.6971,1.6918,10.69,89,29,4.94,GB,1702306184
241,thunder bay,48.4001,-89.3168,-6.01,73,75,2.06,CA,1702305949
242,i-n-salah,27.1935,2.4607,23.88,23,0,7.47,DZ,1702306184
243,axim,4.8699,-2.2405,29.81,62,36,4.61,GH,1702306184
244,olinda,-8.0089,-34.8553,28.85,70,75,5.14,BR,1702305914
245,talcahuano,-36.7167,-73.1167,13.82,77,75,3.6,CL,1702306184
246,howard springs,-12.497,131.047,26.1,96,15,2.23,AU,1702306184
247,chul'man,56.8479,124.9104,-38.82,100,100,1.09,RU,1702306184
248,remire-montjoly,4.9167,-52.2667,31.02,70,20,4.63,GF,1702306184
249,meadow lakes,61.6247,-149.6011,2.93,69,100,5.14,US,1702306184
250,lubang,13.8584,120.124,28.19,76,71,7.79,PH,1702306184
251,deder,9.3167,41.45,16.82,40,62,2.63,ET,1702306184
252,puerto deseado,-47.7503,-65.8938,15.17,60,18,7.64,AR,1702306184
253,basco,20.4487,121.9702,26.64,77,11,5.81,PH,1702306184
254,kone,-21.0595,164.8658,22.3,76,92,1.48,NC,1702306185
255,aswan,24.0934,32.907,29.61,20,0,3.09,EG,1702306185
256,kibre mengist,5.8833,38.9833,20.51,58,93,1.52,ET,1702306185
257,lata,40.1629,-8.3327,19.4,68,100,2.27,PT,1702306185
258,midvagur,62.0511,-7.1939,5.46,93,75,3.6,FO,1702306185
259,hadibu,12.65,54.0333,25.26,62,8,6.11,YE,1702306014
260,suoyarvi,62.0833,32.35,-11.14,95,100,2.9,RU,1702306185
261,wani,20.0667,78.95,20.88,51,3,1.73,IN,1702306185
262,plouzane,48.3833,-4.6167,13.18,97,100,6.17,FR,1702306185
263,sassandra,4.95,-6.0833,28.97,70,21,3.66,CI,1702306185
264,kavaratti,10.5669,72.642,28.92,70,55,1.46,IN,1702306185
265,devils lake,48.1128,-98.8651,-7.81,92,0,4.63,US,1702306185
266,pathein,16.7833,94.7333,24.26,81,2,3.84,MM,1702306185
267,knyaze-volkonskoye,48.4642,135.4567,-22.62,94,9,4.59,RU,1702306185
268,guangyuan,32.442,105.823,8.77,72,3,1.9,CN,1702306185
269,yakeshi,49.2833,120.7333,-38.62,100,91,0.99,CN,1702306185
270,arroio grande,-32.2375,-53.0869,25.3,58,59,4.95,BR,1702306185
271,san clemente del tuyu,-36.3569,-56.7235,23.88,69,100,6.36,AR,1702306186
272,abashiri,44.0213,144.2697,-2.38,57,53,1.93,JP,1702306186
273,balabac,7.9868,117.0645,27.95,76,6,5.03,PH,1702306186
274,vorgashor,67.5833,63.95,-21.19,93,100,5.32,RU,1702306186
275,kerikeri,-35.2268,173.9474,10.4,91,15,2.94,NZ,1702306186
276,lubao,14.9167,120.55,26.84,83,50,1.83,PH,1702306186
277,west island,-12.1568,96.8225,25.99,73,0,4.63,CC,1702306186
278,cidreira,-30.1811,-50.2056,23.09,71,23,5.02,BR,1702306186
279,itupiranga,-5.1347,-49.3267,29.18,60,100,2.65,BR,1702306186
280,seydi,39.4816,62.9137,1.53,60,100,8.47,TM,1702306186
281,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702306186
282,debre werk',10.6667,38.1667,18.54,46,93,2.23,ET,1702306186
283,zhangzhou,24.5133,117.6556,20.96,82,0,0.35,CN,1702306186
284,margate,51.3813,1.3862,11.61,71,20,2.24,GB,1702306186
285,korla,41.7597,86.1469,-1.45,51,100,1.06,CN,1702306186
286,san felipe jalapa de diaz,18.0667,-96.5333,18.73,78,96,0.78,MX,1702306186
287,custodia,-8.0875,-37.6431,33.66,26,17,3.31,BR,1702306186
288,plettenberg bay,-34.0527,23.3716,20.3,60,0,1.91,ZA,1702305889
289,choibalsan,48.0667,114.5,-20.79,99,100,2.19,MN,1702306187
290,osakarovka,50.565,72.5692,-25.72,92,100,6.37,KZ,1702306187
291,barmer,25.75,71.3833,21.58,21,2,1.43,IN,1702306187
292,altania,-23.8744,-53.9017,25.67,69,41,1.8,BR,1702306187
293,constantia,44.1833,28.65,2.61,67,100,2.56,RO,1702306187
294,noumea,-22.2763,166.4572,18.99,75,99,4.58,NC,1702306187
295,teknaf,20.8624,92.3058,19.77,80,0,4.04,BD,1702306187
296,sigli,5.3848,95.9609,26.57,85,100,1.39,ID,1702306187
297,alice springs,-23.7,133.8833,14.75,55,0,0.0,AU,1702306187
298,saint-philippe,-21.3585,55.7679,26.77,80,67,4.41,RE,1702306187
299,safotu,-13.4513,-172.4018,26.98,91,100,5.99,WS,1702306187
300,papao,-17.75,-149.55,23.82,80,61,10.59,PF,1702306187
301,santiago de cao,-7.9589,-79.2392,20.07,83,31,4.12,PE,1702306187
302,pak phanang,8.3511,100.202,27.01,81,96,2.74,TH,1702306187
303,sanchor,24.7553,71.7722,21.79,21,69,2.38,IN,1702306187
304,cockburn town,21.4612,-71.1419,27.98,69,20,5.66,TC,1702306187
305,cowra,-33.8333,148.6833,21.56,67,0,2.82,AU,1702306187
306,salinas,36.6777,-121.6555,12.5,58,0,2.57,US,1702305917
307,merizo village,13.2658,144.6691,27.31,92,81,5.4,GU,1702306187
308,maumere,-8.6199,122.2111,27.48,81,100,2.04,ID,1702306188
309,salalah,17.0151,54.0924,27.05,47,0,2.06,OM,1702306188
310,valle hermoso,25.6667,-97.8333,7.94,33,100,2.22,MX,1702306188
311,turochak,52.2576,87.1224,-26.43,100,74,0.83,RU,1702306188
312,luganville,-15.5333,167.1667,23.71,70,100,2.54,VU,1702306188
313,egilsstadir,65.2653,-14.3948,-6.05,86,20,2.06,IS,1702306188
314,rudsar,37.1376,50.288,13.99,88,100,4.23,IR,1702306188
315,daru,-9.0763,143.2092,25.97,86,88,2.51,PG,1702306188
316,vilyuysk,63.7553,121.6247,-26.08,96,100,3.17,RU,1702306188
317,soio,-6.1349,12.3689,28.92,68,89,4.69,AO,1702306188
318,tolanaro,-25.0319,46.9987,30.04,74,20,8.23,MG,1702306188
319,derzhavinsk,51.1,66.3167,-29.84,90,12,7.09,KZ,1702306188
320,iskateley,67.6803,53.1512,-16.66,94,100,9.39,RU,1702306188
321,veraval,20.9,70.3667,24.06,50,42,4.86,IN,1702306188
322,rancho palos verdes,33.7445,-118.387,18.64,19,100,1.79,US,1702306188
323,eldorado,-23.7869,-54.2836,26.19,68,68,2.26,BR,1702306188
324,la passe,45.5549,-0.8967,15.13,98,100,5.75,FR,1702306188
325,praia da vitoria,38.7333,-27.0667,18.2,77,40,5.29,PT,1702306132
326,fuglafjordur,62.244,-6.814,5.26,86,99,7.02,FO,1702306188
327,kodiak,57.79,-152.4072,1.73,69,100,0.0,US,1702306188
328,mokhsogollokh,61.4681,128.9203,-27.49,91,100,3.87,RU,1702306189
329,castillos,-34.1667,-53.8333,23.06,60,4,4.64,UY,1702306189
330,berezovyy,51.6667,135.7,-24.16,69,1,2.64,RU,1702306189
331,opuwo,-18.0607,13.84,33.62,18,88,5.57,,1702306189
332,south hedland,-20.4089,118.5983,24.96,73,0,1.54,AU,1702306189
333,ataq,14.5377,46.8319,20.12,20,5,3.29,YE,1702306189
334,tshikapa,-6.4167,20.8,27.3,79,100,1.29,CD,1702306189
335,sangola,17.4333,75.2,25.51,43,2,3.75,IN,1702306189
336,minas de marcona,-15.2119,-75.1103,21.06,59,100,4.05,PE,1702306189
337,sao vicente,-23.9631,-46.3919,31.1,54,100,2.57,BR,1702306189
338,eyl,7.9803,49.8164,25.67,72,41,10.89,SO,1702306189
339,onega,63.9061,38.1404,-13.39,94,98,3.67,RU,1702306189
340,francistown,-21.17,27.5079,28.6,46,100,1.92,BW,1702306189
341,baardheere,2.3446,42.2764,32.39,39,100,4.86,SO,1702306189
342,thai nguyen,21.5928,105.8442,23.88,92,100,1.31,VN,1702306189
343,kaohsiung,22.6163,120.3133,26.97,84,40,1.54,TW,1702306189
344,newman,37.3138,-121.0208,2.94,66,10,1.55,US,1702306189
345,ciudad lazaro cardenas,17.9583,-102.2,26.13,62,97,2.54,MX,1702306015
346,ishigaki,24.3448,124.1572,23.07,100,100,1.54,JP,1702306189
347,hiratacho,35.4333,132.8167,13.01,91,100,0.64,JP,1702306189
348,san patricio,28.017,-97.5169,11.62,28,82,1.61,US,1702306190
349,mhamid,29.82,-5.72,24.1,22,95,2.93,MA,1702306190
350,beitbridge,-22.2167,30.0,26.81,67,97,3.87,ZW,1702306190
351,gannan,47.9147,123.5031,-21.54,86,100,1.78,CN,1702306190
352,rockport,28.0206,-97.0544,11.72,33,0,0.0,US,1702306190
353,namibe,-15.1961,12.1522,24.12,66,87,5.18,AO,1702306190
354,nantucket,41.2835,-70.0995,12.06,100,100,10.29,US,1702305894
355,betafo,-19.8333,46.85,20.6,83,78,1.46,MG,1702306190
356,kolonia town,6.964,158.206,28.0,83,75,3.09,FM,1702306190
357,al jubayl,27.0112,49.6583,23.35,62,100,4.73,SA,1702305961
358,lanja,16.85,73.55,23.25,73,4,1.33,IN,1702306190
359,caras,-9.0467,-77.8114,22.98,53,73,0.84,PE,1702306190
360,nar'yan-mar,67.6713,53.087,-16.61,94,100,9.39,RU,1702306190
361,kununurra,-15.7667,128.7333,29.99,66,38,1.03,AU,1702306176
362,samux,40.7647,46.4085,8.56,93,100,3.09,AZ,1702306190
